Model,RMSE,MAE,R2
Gradient Boosting,27790.020490629628,17164.860489127735,0.8993152027685628
Random Forest,29023.69565163816,17494.975502283105,0.8901774335895113
Ridge Regression,29720.6343308988,19101.405737315505,0.8848398254296761
Dummy Baseline,87619.03450611533,62575.926451960964,-0.0008824918802490256
