Feature,Importance
cat__MiscFeature_Shed,0.0
cat__GarageQual_Gd,0.0
cat__MiscFeature_Othr,0.0
cat__GarageCond_Gd,0.0
cat__FireplaceQu_Po,0.0
cat__FireplaceQu_TA,0.0
cat__GarageType_2Types,0.0
cat__PavedDrive_P,0.0
cat__GarageCond_Po,0.0
cat__GarageCond_NoGarage,0.0
cat__GarageType_Basment,0.0
cat__GarageType_BuiltIn,0.0
cat__GarageCond_Fa,0.0
cat__GarageQual_Fa,0.0
cat__GarageType_Detchd,0.0
cat__GarageCond_Ex,0.0
cat__GarageFinish_Fin,0.0
cat__GarageQual_TA,0.0
cat__GarageQual_Po,0.0
cat__GarageFinish_Unf,0.0
cat__GarageQual_NoGarage,0.0
cat__GarageQual_Ex,0.0
cat__PavedDrive_Y,0.0
cat__FireplaceQu_Gd,0.0
cat__FireplaceQu_Fa,0.0
cat__PoolQC_Ex,0.0
cat__Electrical_SBrkr,0.0
cat__MiscFeature_NoMiscFeature,0.0
cat__MiscFeature_Gar2,0.0
cat__KitchenQual_Fa,0.0
cat__Fence_NoFence,0.0
cat__Fence_MnWw,0.0
cat__Fence_MnPrv,0.0
cat__Fence_GdWo,0.0
cat__Functional_Maj1,0.0
cat__Fence_GdPrv,0.0
cat__Functional_Maj2,0.0
cat__Functional_Min1,0.0
cat__PoolQC_NoPool,0.0
cat__Functional_Min2,0.0
cat__Functional_Mod,0.0
cat__PoolQC_Gd,0.0
cat__PoolQC_Fa,0.0
cat__Electrical_FuseP,0.0
cat__Exterior2nd_Brk Cmn,0.0
cat__BsmtCond_Po,0.0
cat__Condition2_PosA,0.0
cat__Neighborhood_SawyerW,0.0
cat__Neighborhood_Somerst,0.0
cat__Neighborhood_Timber,0.0
cat__Condition1_PosN,0.0
cat__Condition1_RRAe,0.0
cat__Condition1_RRAn,0.0
cat__Condition1_RRNe,0.0
cat__Condition1_RRNn,0.0
cat__Condition2_Artery,0.0
cat__Condition2_Feedr,0.0
cat__Condition2_Norm,0.0
cat__Condition2_PosN,0.0
cat__RoofStyle_Flat,0.0
cat__Condition2_RRAe,0.0
cat__Condition2_RRAn,0.0
cat__Condition2_RRNn,0.0
cat__BldgType_2fmCon,0.0
cat__BldgType_Duplex,0.0
cat__BldgType_Twnhs,0.0
cat__BldgType_TwnhsE,0.0
cat__HouseStyle_1.5Fin,0.0
cat__HouseStyle_1.5Unf,0.0
cat__HouseStyle_2.5Fin,0.0
cat__HouseStyle_2.5Unf,0.0
cat__Neighborhood_Sawyer,0.0
cat__Neighborhood_SWISU,0.0
cat__Neighborhood_NridgHt,0.0
cat__Neighborhood_NWAmes,0.0
num__LowQualFinSF,0.0
num__MiscVal,0.0
cat__Street_Grvl,0.0
cat__Street_Pave,0.0
cat__Alley_Grvl,0.0
cat__Alley_NoAlley,0.0
cat__LotShape_IR1,0.0
cat__LotShape_IR2,0.0
cat__Utilities_AllPub,0.0
cat__Utilities_NoSeWa,0.0
cat__LotConfig_Corner,0.0
cat__LotConfig_FR2,0.0
cat__LotConfig_FR3,0.0
cat__LandSlope_Sev,0.0
cat__Neighborhood_Blmngtn,0.0
cat__Neighborhood_Blueste,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_IDOTRR,0.0
cat__Neighborhood_MeadowV,0.0
cat__Neighborhood_Mitchel,0.0
cat__Neighborhood_NAmes,0.0
