class,precision,recall,f1_score,support,accuracy
Normal,0.754170935630352,0.9395524739993697,0.8367165079743754,63460.0,
Anomaly,0.5631974493281713,0.20286288503342767,0.2982842324277056,24381.0,
macro avg,0.6586841924792617,0.5712076795163987,0.5675003702010405,87841.0,
weighted avg,0.7011646564494062,0.7350781525711229,0.6872701525127646,87841.0,
accuracy,,,,87841.0,0.7350781525711229
